Clave,Longitud,Latitud,comid
E026055120,-76.533888890000000,3.378000000000000,610224219
E026060020,-76.346611109999998,3.320222220000000,610250622
E026060030,-76.462999999999994,3.178944440000000,610273513
E026070760,-76.239138890000007,3.327777780000000,610006861
E026075010,-76.314888890000006,3.513472220000000,610248850
E026080070,-76.429722220000002,3.698527780000000,610211879
E026080280,-76.601555559999994,3.438194440000000,610236535
E026090060,-76.165555560000001,3.773222220000000,610277874
E026090630,-76.331944440000001,3.770138890000000,610306035
E026100070,-76.147305560000007,4.223805560000000,610271688
E026100300,-75.965833329999995,4.588611110000000,610230306
E026100740,-76.040555560000001,4.515638890000000,610457350
E026100770,-76.042527780000000,4.114305560000000,610270811
E026100780,-76.073499999999996,4.383055560000000,610261996
E026100830,-75.961666670000000,4.688416670000000,610273421
E026110040,-76.190444439999993,4.342944440000000,610327120
E026110150,-75.989999999999995,4.790000000000000,610239093
E026110160,-76.035722219999997,4.684861110000000,610227660
E026110230,-76.100527779999993,4.418666670000001,610443277
E026110300,-76.034444440000001,4.616388890000000,610434464
E026115080,-76.079888890000007,4.480916670000000,610420394
E026115090,-76.144277779999996,4.775583330000000,610270774
E026120120,-75.834833329999995,4.331555560000000,610270800
E026120150,-75.786305560000002,4.676472220000000,610005901
E026120160,-75.569166670000001,4.636277780000000,610231186
E026120170,-75.706277779999994,4.332750000000000,610284000
E026125130,-75.832361109999994,4.185055560000001,610230332
E026125130,-75.832361109999994,4.185055560000001,610255850
E026130020,-75.558055560000000,4.844166670000000,610009412
E026130170,-75.558055560000000,4.885555560000000,610342927
E026135160,-75.579972220000002,4.841666670000000,610009412
E026140090,-75.862777780000002,5.167055560000000,610254910
E026140180,-75.882777779999998,4.892500000000000,610340286
E026145020,-75.800138889999999,5.275944440000000,610327062
E026150060,-75.701666669999994,5.108527780000000,610408036
E026150160,-75.356555560000004,5.017833330000000,610321799
E026160080,-75.489305560000005,5.395444440000000,610357859
E026160090,-75.455083329999994,5.522444440000000,610014649
E026160100,-75.518444439999996,5.163166670000000,610261949
E026160160,-75.577500000000001,5.587500000000000,610445847
E026170150,-75.838805559999997,5.791055560000000,610238153
E026170180,-75.641305560000006,5.547833330000000,610232888
E026170190,-75.723611109999993,5.803861110000000,610317352
E026170290,-75.730249999999998,5.424777780000000,610276893
E026175030,-75.690916669999993,5.717333330000000,610297998
E026175040,-75.650972220000000,5.800250000000000,610462554
E026180160,-75.430416670000000,5.785972220000000,610014633
E026180180,-75.294499999999999,5.715250000000000,610266317
E026185020,-75.318638890000003,5.886361110000000,610246947
E026190090,-75.975527779999993,5.755000000000000,610261035
E026190100,-75.900083330000001,5.563972220000000,610298006
E026195020,-75.880222219999993,5.691000000000000,610365760
E026200130,-75.840000000000003,5.970000000000000,610382462
E026200150,-75.685111109999994,5.936750000000000,610212622
E026205080,-75.700944440000001,6.341055560000000,610225799
E026210080,-75.873972219999999,6.099222220000000,610212615
E026210090,-75.859250000000003,6.303138890000000,610015481
E026210130,-75.955833330000004,6.503333330000000,610186189
E026210140,-75.945499999999996,6.218527780000000,610237248
E026220090,-75.957222220000006,6.688055560000000,610190578
E026220110,-75.616861110000002,7.323750000000000,610218702
E026230010,-75.810888890000001,6.628722220000000,610381543
E026230110,-75.669861109999999,6.909833330000000,610304965
E026230140,-75.758055560000003,6.720888890000000,610191456
E026230200,-75.814805559999996,6.846000000000000,610189687
E026240060,-75.415000000000006,7.836666670000000,610194907
E026240090,-75.284444440000001,7.668305560000000,610333960
E026240100,-75.214916669999994,7.862916670000000,610347148
E026240170,-75.448555560000003,7.562555560000000,610318129
E026250030,-75.347833330000000,7.579055560000000,610366524
E026250060,-75.327611110000007,7.369916670000000,610365658
E027010800,-75.607222219999997,6.399722220000000,610239874
E027010820,-75.453611109999997,6.368333330000000,610319957
E027010830,-75.515749999999997,6.563222220000000,610239865
E027010850,-75.077222219999996,6.905555560000000,610206405
E027010870,-75.668333329999996,6.609166670000000,610275063
E027010900,-75.219805559999998,6.677805560000000,610264498
E027011120,-75.657527779999995,6.316277780000000,610217883
E027020190,-75.415555560000001,6.955972220000000,610216081
E027020200,-75.355583330000002,7.070722220000000,610246876
E027020210,-75.332472220000000,6.883055560000000,610217849
E027020220,-75.483861110000007,6.813611110000000,610260966
E027020260,-75.302194439999994,7.246777780000000,610180865
E027030090,-74.839333330000002,7.319305560000000,610225740
E027040020,-74.952749999999995,7.531000000000000,610167646
E028010040,-73.025277779999996,10.391388890000000,610138434
E028010340,-72.981944440000007,10.615833329999999,610163943
E028010360,-73.353055560000001,10.697333329999999,610104095
E028025090,-73.265472220000007,9.850250000000001,610191266
E028035020,-73.319444439999998,10.363055559999999,610196515
E028040010,-73.585027780000004,10.414638890000001,610113793
E028040030,-73.881749999999997,9.975750000000000,610154298
E028040100,-74.273250000000004,10.233694440000001,610121727
E028040150,-74.039222219999999,10.308055560000000,610168360
E028040350,-73.743694439999999,9.656972220000000,610141999
E029015000,-74.852222220000002,10.064444440000001,610135816
E029015020,-75.109999999999999,9.720000000000001,610190396
E029030050,-75.161833329999993,10.404111110000001,610130514
E029030050,-75.161833329999993,10.404111110000001,610131394
E029030530,-75.235833330000006,9.919166669999999,610148142
E029035000,-75.278277779999996,10.142583330000001,610215010
E029035110,-75.258611110000004,10.043166670000000,610181574
E029040020,-74.907833330000003,10.708500000000001,610096172
E029040230,-74.969666669999995,10.988333330000000,610090880
E029040250,-74.888416669999998,10.376638890000001,610119956
E029040260,-74.886888889999994,10.455111110000001,610108510
E029040300,-74.822277779999993,10.507888890000000,610119066
E029040310,-74.920222219999999,10.277888890000000,610190356
E029045110,-75.046111109999998,10.833888890000001,610105847
E029050020,-74.790000000000006,10.487527780000001,610200029
E029060040,-74.182222220000000,10.524361109999999,610189467
E029060100,-74.108000000000004,10.402749999999999,610112913
E029060200,-74.186972220000001,10.540666670000000,610183304
E029060210,-74.204694439999997,10.966833330000000,610095280
E031015010,-72.640000000000001,2.372777780000000,610175878
E032010010,-74.103083330000004,2.562833330000000,610351868
E032030020,-73.943888889999997,2.322500000000000,610282362
E032035010,-73.793333329999996,2.176111110000000,610292050
E032035010,-73.793333329999996,2.176111110000000,610263009
E032040020,-73.166388889999993,2.374277780000000,610280597
E032060030,-73.842777780000006,3.790722220000000,610299872
E032060060,-73.834694440000007,3.742333330000000,610218916
E032060090,-74.059638890000002,3.576222220000000,610350046
E032070010,-73.750000000000000,3.200000000000000,610288470
E032070040,-73.629999999999995,2.980000000000000,610231282
E032070060,-73.633333329999999,3.466666670000000,610358853
E032070090,-73.916666669999998,3.316666670000000,610309580
E032070100,-73.891944440000003,3.375083330000000,610308704
E032070110,-73.857833330000005,3.472027780000000,610339492
E032075050,-74.042972219999996,3.380055560000000,610321896
E032080010,-73.209999999999994,2.940000000000000,610374724
E032097010,-72.130111110000001,2.889722220000000,610353609
E032150040,-69.890000000000001,3.420000000000000,610396695
E032155010,-70.533333330000005,2.800000000000000,610347453
E032200010,-68.319999999999993,3.990000000000000,610449461
E033050020,-69.605833329999996,4.516111110000000,610398389
E033060010,-68.359999999999999,4.870000000000000,610484610
E035010010,-72.936499999999995,4.105027780000001,610398417
E035010020,-73.765583329999998,3.994638890000000,610301622
E035010040,-73.814583330000005,3.924222220000000,610227705
E035010060,-73.400555560000001,3.786666670000000,610357954
E035010070,-73.758611110000004,3.878333330000000,610290192
E035010090,-73.700833329999995,3.750277780000000,610229476
E035020010,-73.823333329999997,4.254444440000001,610403684
E035020020,-73.771916669999996,4.196166670000000,610418649
E035020060,-73.367999999999995,4.039750000000000,610322739
E035020280,-73.926583330000000,4.522916670000000,610386069
E035020290,-73.890416669999993,4.486527780000001,610353510
E035020300,-74.002694439999999,4.253916670000000,610260245
E035025060,-73.981416670000002,4.575416670000000,610021745
