Clave,Longitud,Latitud,Altura,Nombre,Estacion,DEPARTAMEN,PROVINCIA,MUNICIPIO,comid
EV00000010,-59.255059,-17.833463,0, ,V,Santa Cruz,Angel Sandoval,San Mat�as,640258243
EV00000011,-58.269061,-17.700733,0, ,V,Santa Cruz,Angel Sandoval,San Mat�as,640220219
EV00000012,-58.970637,-17.207734,0, ,V,Santa Cruz,Angel Sandoval,San Mat�as,640272036
EV00000013,-58.686214,-16.506158,0, ,V,Santa Cruz,Angel Sandoval,San Mat�as,640251260
EV00000014,-59.330905,-16.714735,0, ,V,Santa Cruz,Angel Sandoval,San Mat�as,640177545
EV00000015,-59.804943,-17.492156,0, ,V,Santa Cruz,Chiquitos,San Jos�,640206388
EV00000016,-60.203134,-16.828504,0, ,V,Santa Cruz,Velasco,San Rafael,640179856
EV00000017,-61.227056,-16.90435,0, ,V,Santa Cruz,Velasco,San Miguel,620175938
EV00000018,-60.335865,-15.89939,0, ,V,Santa Cruz,Velasco,San Ignacio,620314859
EV00000019,-61.15121,-15.633929,0, ,V,Santa Cruz,Velasco,San Ignacio,620324477
EV00000020,-60.468595,-14.799623,0, ,V,Santa Cruz,Velasco,San Ignacio,620325809
EV00000021,-61.397709,-14.401431,0, ,V,Santa Cruz,Velasco,San Ignacio,620529436
EV00000021,-61.397709,-14.401431,0, ,V,Santa Cruz,Velasco,San Ignacio,620569339
EV00000022,-61.170171,-13.661932,0, ,V,Santa Cruz,Velasco,San Ignacio,620521138
EV00000023,-62.0424,-15.197814,0, ,V,Santa Cruz,�uflo De Ch�vez,Concepci�n,620554246
EV00000024,-62.440592,-14.306624,0, ,V,Santa Cruz,�uflo De Ch�vez,Concepci�n,620525300
EV00000025,-62.952552,-15.311583,0, ,V,Santa Cruz,Guarayos,Urubicha,620109803
EV00000026,-63.161129,-14.610008,0, ,V,Santa Cruz,Guarayos,Urubicha,620599623
EV00000027,-63.255936,-13.965317,0, ,V,Beni,It�nez,Baures,620832132
EV00000028,-62.66813,-13.415433,0, ,V,Beni,It�nez,Baures,620588550
EV00000029,-63.331782,-12.865549,0, ,V,Beni,It�nez,Magdalena,620518343
EV00000030,-63.729974,-15.046122,0, ,V,Santa Cruz,Guarayos,Ascenci�n de Guarayos,620360220
EV00000031,-63.919589,-14.420393,0, ,V,Beni,Cercado,San Javier,620437246
EV00000032,-64.829741,-14.211816,0, ,V,Beni,Cercado,San Javier,620709682
EV00000033,-64.317781,-13.851547,0, ,V,Beni,It�nez,Huacaraje,620552795
EV00000034,-64.798577,-15.084045,0, ,V,Beni,Marb�n,Loreto,620358848
EV00000035,-64.014397,-15.709775,0, ,V,Beni,Marb�n,San Andr�s,620386400
EV00000036,-64.867664,-15.52016,0, ,V,Beni,Marb�n,Loreto,620314838
EV00000037,-65.474432,-16.27862,0, ,V,Beni,Moxos,San Ignacio,620273599
EV00000038,-63.597244,-16.468235,0, ,V,Santa Cruz,Obispo Santist�ban,San Pedro,620342409
EV00000039,-63.692051,-17.66281,0, ,V,Santa Cruz,Ichilo,Buena Vista,620149832
EV00000040,-63.919589,-17.03708,0, ,V,Santa Cruz,Ichilo,San Juan,620189700
EV00000041,-64.507396,-16.145889,0, ,V,Santa Cruz,Ichilo,Yapacan�,620347897
EV00000042,-64.412588,-16.714735,0, ,V,Santa Cruz,Ichilo,Yapacan�,620074102
EV00000043,-64.867664,-17.03708,0, ,V,Cochabamba,Carrasco,Puerto Villarroel,620244744
EV00000044,-64.829741,-17.568002,0, ,V,Cochabamba,Carrasco,Pojo,620129187
EV00000045,-64.412588,-17.321503,0, ,V,Cochabamba,Carrasco,Entre R�os,620060375
EV00000046,-63.711013,-16.013159,0, ,V,Santa Cruz,Guarayos,El Puente,620270837
EV00000047,-63.04736,-16.41135,0, ,V,Santa Cruz,Guarayos,El Puente,620356166
EV00000048,-62.687091,-16.809542,0, ,V,Santa Cruz,�uflo De Ch�vez,San Juli�n,620319039
EV00000049,-62.232015,-17.226695,0, ,V,Santa Cruz,�uflo De Ch�vez,Cuatro Ca�adas,620159443
EV00000050,-61.511478,-17.605925,0, ,V,Santa Cruz,Chiquitos,Pail�n,620142950
EV00000051,-62.307861,-17.833463,0, ,V,Santa Cruz,Chiquitos,Pail�n,620151218
EV00000052,-66.498354,-16.65785,0, ,V,Cochabamba,Chiquitos,Cocapata,620288755
EV00000053,-66.687969,-16.03212,0, ,V,Cochabamba,Ayopaya,Cocapata,620391922
EV00000054,-66.138085,-15.728736,0, ,V,Beni,Moxos,San Ignacio,620057538
EV00000055,-67.237852,-15.330545,0, ,V,La Paz,Sud Yungas,Palos Blancos,620475819
EV00000056,-66.308739,-15.14093,0, ,V,Beni,Yacuma,Santa Ana,620594147
EV00000057,-66.176008,-14.363508,0, ,V,Beni,Yacuma,Santa Ana,620793626
EV00000058,-66.669007,-13.567125,0, ,V,Beni,General Jos� Ballivi�n,Santa Rosa,620545902
EV00000059,-66.024316,-13.320625,0, ,V,Beni,Yacuma,Exaltaci�n,620749538
EV00000060,-65.227933,-12.884511,0, ,V,Beni,Yacuma,Exaltaci�n,620822443
EV00000061,-64.715972,-12.277743,0, ,V,Beni,Mamor�,San Joaqu�n,620650410
EV00000062,-65.284817,-12.182935,0, ,V,Beni,Yacuma,Exaltaci�n,620649028
EV00000063,-66.062239,-12.429435,0, ,V,Beni,Yacuma,Exaltaci�n,620693073
EV00000064,-65.474432,-11.424475,0, ,V,Beni,Vaca Diez,Guayaramer�n,620617339
EV00000065,-65.550278,-10.191977,0, ,V,Pando,Federico Rom�n,Nueva Esperanza,620626904
EV00000066,-66.3277,-10.571207,0, ,V,Pando,Federico Rom�n,Villa Nueva,620650317
EV00000067,-66.460431,-9.983401,0, ,V,Pando,Federico Rom�n,Santos Mercado,620992911
EV00000068,-66.915507,-10.419515,0, ,V,Pando,Abun�,Ingavi,620189350
EV00000069,-66.839661,-11.708898,0, ,V,Pando,Madre de Dios,San Lorenzo,620966861
EV00000070,-66.005354,-11.708898,0, ,V,Beni,Vaca Diez,Riberalta,620902187
EV00000071,-66.744853,-11.86059,0, ,V,Beni,Vaca Diez,Riberalta,621015027
EV00000072,-66.725892,-12.61905,0, ,V,Beni,General Jos� Ballivi�n,Reyes,620675196
EV00000073,-67.275775,-13.661932,0, ,V,Beni,General Jos� Ballivi�n,Reyes,620511506
EV00000074,-67.275775,-12.960357,0, ,V,La Paz,Abel Iturralde,Ixiamas,620550000
EV00000075,-68.09112,-15.785621,0, ,V,La Paz,Larecaja,Guanay,620431812
EV00000076,-67.768774,-15.159891,0, ,V,La Paz,Franz Tamayo,Apolo,620397376
EV00000077,-69.09608,-14.704815,0, ,V,La Paz,Franz Tamayo,Pelechuco,620386346
EV00000078,-68.394504,-14.856507,0, ,V,La Paz,Franz Tamayo,Apolo,620349201
EV00000079,-68.242812,-14.287662,0, ,V,La Paz,Franz Tamayo,Apolo,620664278
