Clave,Longitud,Latitud,Altitud,Estaci�n,Nombre,comid
E000470001,-72.582999999999998,-47.244000000000000,"209",O,COCHRANE LORD AD.,660099820
E000V00156,-73.536000000000001,-47.799999999999997,"10",V,TORTEL,660117429
E000V00155,-72.560000000000002,-48.470999999999997,"280",V,O'HIGGINS,660111105
E000V00206,-73.941000000000003,-48.957999999999998,NA,V,V43,660118857
E000V00207,-73.569999999999993,-51.070000000000000,NA,V,V44,660030188
E000V00158,-72.966999999999999,-51.183999999999997,"25",V,TORRES DEL PAINE,660082286
E000V00158,-72.966999999999999,-51.183999999999997,"25",V,TORRES DEL PAINE,660082990
E000V00159,-71.164000000000001,-52.308999999999997,"115",V,LAGUNA BLANCA,660102721
E000V00161,-70.361000000000004,-52.432000000000002,"113",V,SAN GREGORIO,650032783
E000V00160,-71.504999999999995,-52.600999999999999,"11",V,R�O VERDE,660112581
E000V00162,-69.269999999999996,-52.799999999999997,"58",V,PRIMAVERA,660199882
E000520006,-70.838999999999999,-53.002000000000002,"36",O,PUNTA ARENAS CARLOS IBA�EZ AP.,660177357
E000530005,-70.325999999999993,-53.253999999999998,"25",O,PORVENIR FUENTES MARTINEZ AD.,660138641
E000V00208,-71.379999999999995,-53.799999999999997,NA,V,V45,660039386
E000V00163,-68.804000000000002,-54.051000000000002,"150",V,TIMAUKEL,660187230
E000550001,-67.616000000000000,-54.932000000000002,"12",O,PTO. WILLIAMS,660099951
